Index,X,Y,Z,E
4429,13114,8765,720,44897
4430,12952,8765,720,44905
4431,12790,8765,720,44914
4432,12628,8765,720,44922
4433,12466,8765,720,44930
4434,12304,8765,720,44938
4435,12141,8765,720,44946
4436,11979,8765,720,44954
4437,11817,8765,720,44963
4438,11655,8765,720,44971
4439,11501,8742,720,44979
4440,11360,8663,720,44987
4441,11202,8638,720,44996
4442,11040,8638,720,45004
4443,10877,8638,720,45012
4444,10715,8638,720,45020
4445,10553,8638,720,45028
4446,10391,8638,720,45036
4447,10229,8638,720,45045
4448,10067,8638,720,45053
4449,9905,8638,720,45061
4450,9743,8638,720,45069
4451,9581,8638,720,45077
4452,9418,8638,720,45085
4453,9256,8638,720,45093
4454,9094,8638,720,45102
4455,8932,8638,720,45110
4456,8770,8638,720,45118
4457,8697,8580,776,45120
4458,8159,8478,800,45120
4459,7207,8298,800,45120
4460,6255,8118,800,45120
4461,6187,8207,800,45129
4462,6414,8436,800,45146
4463,6643,8665,800,45162
4464,6539,8693,800,45168
4465,6768,8464,800,45184
4466,6996,8235,800,45200
4467,7041,8082,800,45211
4468,7131,8246,800,45223
4469,7359,8475,800,45239
4470,7587,8704,800,45255
4471,7485,8652,800,45261
4472,7714,8423,800,45277
4473,7942,8194,800,45294
4474,7875,8082,800,45302
4475,8076,8287,800,45317
4476,8304,8516,800,45333
4477,8459,8703,800,45346
4478,8460,8582,800,45356
4479,8688,8354,800,45372
4480,8930,8236,800,45384
4481,9158,8465,800,45400
4482,9401,8546,800,45412
4483,9629,8318,800,45428
4484,9871,8272,800,45441
4485,10100,8501,800,45458
4486,10343,8509,800,45470
4487,10571,8280,800,45486
4488,10813,8309,800,45498
4489,11042,8538,800,45514
4490,11285,8472,800,45526
4491,11513,8243,800,45543
4492,11625,8087,800,45554
4493,11668,8259,800,45565
4494,11897,8488,800,45582
4495,12124,8715,800,45598
4496,11776,8631,800,45604
4497,12260,8402,800,45621
4498,12488,8173,800,45638
4499,12399,8083,800,45644
4500,12615,8300,800,45659
4501,12843,8529,800,45676
4502,13009,8718,800,45689
4503,12977,8590,800,45698
4504,13205,8361,800,45714
4505,13434,8132,800,45731
4506,13332,8112,800,45736
4507,13561,8341,800,45753
4508,13789,8569,800,45769
4509,13847,8720,800,45780
4510,13912,8559,800,45791
4511,13954,8280,800,45801
4512,13767,8082,800,45815
4513,13820,8201,800,45568
4514,13592,8430,800,45840
4515,13363,8659,800,45856
4516,13465,8697,800,45862
4517,13236,8468,800,45878
4518,13008,8240,800,45895
4519,12945,8082,800,45906
4520,12874,8242,800,45917
4521,12646,8471,800,45934
4522,12417,8699,800,45950
4523,12519,8657,800,45955
4524,12291,8428,800,45972
4525,12063,8199,800,45988
4526,12120,8082,800,45996
4527,11928,8282,800,46011
4528,11700,8511,800,46027
4529,11552,8700,800,46040
4530,11535,8577,800,46050
4531,11307,8348,800,46066
4532,11064,8242,800,46078
4533,10835,8471,800,46095
4534,10592,8540,800,46108
4535,10365,8311,800,46124
4536,10122,8279,800,46136
4537,9893,8508,800,46152
4538,9650,8503,800,46164
4539,9422,8274,800,46181
4540,9180,8315,800,46193
4541,8952,8544,800,46210
4542,8709,8467,800,46222
4543,8482,8238,800,46238
4544,8388,8090,800,46249
4545,8324,8266,800,46261
4546,8096,8495,800,46277
4547,7872,8718,800,46293
4548,7961,8624,800,46300
4549,7734,8395,800,46316
4550,7505,8166,800,46332
4551,7601,8084,800,46338
4552,7378,8307,800,46354
4553,7150,8536,800,46370
4554,6982,8722,800,46383
4555,7026,8593,800,46392
4556,6797,8364,800,46409
4557,6568,8135,800,46425
4558,6663,8117,800,46432
4559,6434,8346,800,46448
4560,6206,8575,800,46464
4561,6169,8720,800,46474
4562,6082,8554,800,46486
4563,6057,8270,800,46496
4564,6296,8093,800,46509
4565,7205,8283,800,46509
4566,8152,8480,800,46509
4567,8676,8618,800,46512
4568,8388,8733,800,46528
4569,8065,8733,800,46544
4570,7741,8733,800,46560
4571,7418,8733,800,46577
4572,7095,8733,800,46593
4573,6771,8733,800,46609
4574,6448,8733,800,46626
4575,6124,8733,800,46642
4576,5984,8574,800,46657
4577,5984,8250,800,46674
4578,6099,8067,800,46689
4579,6423,8067,800,46705
4580,6746,8067,800,46722
4581,7069,8067,800,46738
4582,7393,8067,800,46754
4583,7716,8067,800,46771
4584,8040,8067,800,46787
4585,8363,8067,800,46803
4586,8651,8176,800,46819
4587,8972,8194,800,46836
4588,9296,8194,800,46852
4589,9619,8194,800,46868
4590,9943,8194,800,46885
4591,10266,8194,800,46901
4592,10589,8194,800,46917
4593,10913,8194,800,46934
4594,11236,8194,800,46950
4595,11530,8075,800,46966
4596,11846,8067,800,46983
4597,12169,8067,800,46999
4598,12493,8067,800,47015
4599,12816,8067,800,47032
4600,13140,8067,800,47048
4601,13463,8067,800,47064
4602,13787,8067,800,47081
4603,14016,8137,800,47096
4604,14016,8461,800,47112
4605,13990,8733,800,47127
4606,13667,8733,800,47144
4607,13343,8733,800,47160
4608,13020,8733,800,47176
4609,12696,8733,800,47193
4610,12373,8733,800,47209
4611,12050,8733,800,47225
4612,11726,8733,800,47242
4613,11432,8658,800,47258
4614,11117,8606,800,47274
4615,10794,8606,800,47291
4616,10470,8606,800,47307
4617,10147,8606,800,47323
4618,9823,8606,800,47340
4619,9500,8606,800,47356
4620,9176,8606,800,47372
4621,8853,8606,800,47389
4622,8667,8654,800,47398
4623,8522,8725,800,47406
4624,8374,8765,800,47415
4625,8212,8765,800,47423
4626,8050,8765,800,47431
4627,7887,8765,800,47439
4628,7725,8765,800,47448
4629,7563,8765,800,47456
4630,7401,8765,800,47464
4631,7239,8765,800,47472
4632,7077,8765,800,47480
4633,6915,8765,800,47489
4634,6753,8765,800,47497
4635,6591,8765,800,47505
4636,6428,8765,800,47513
4637,6266,8765,800,47521
4638,6104,8765,800,47529
4639,5952,8758,800,47537
4640,5952,8596,800,47546
4641,5952,8434,800,47554
4642,5952,8271,800,47562
4643,5952,8109,800,47570
4644,6036,8035,800,47578
4645,6198,8035,800,47587
4646,6360,8035,800,47595
4647,6522,8035,800,47603
4648,6684,8035,800,47611
4649,6847,8035,800,47619
4650,7009,8035,800,47627
4651,7171,8035,800,47636
4652,7333,8035,800,47644
4653,7495,8035,800,47652
4654,7657,8035,800,47660
4655,7819,8035,800,47668
4656,7981,8035,800,47676
4657,8143,8035,800,47685
4658,8306,8035,800,47693
4659,8468,8035,800,47701
4660,8603,8122,800,47709
4661,8759,8162,800,47718
4662,8921,8162,800,47726
4663,9083,8162,800,47734
4664,9245,8162,800,47742
4665,9407,8162,800,47750
4666,9570,8162,800,47758
4667,9732,8162,800,47767
4668,9894,8162,800,47775
4669,10056,8162,800,47783
4670,10218,8162,800,47791
4671,10380,8162,800,47799
4672,10542,8162,800,47807
4673,10704,8162,800,47816
4674,10866,8162,800,47824
4675,11029,8162,800,47832
4676,11191,8162,800,47840
4677,11350,8141,800,47848
4678,11492,8064,800,47857
4679,11644,8035,800,47865
4680,11806,8035,800,47873
4681,11968,8035,800,47881
4682,12130,8035,800,47889
4683,12293,8035,800,47898
4684,12455,8035,800,47906
4685,12617,8035,800,47914
4686,12779,8035,800,47922
4687,12941,8035,800,47930
4688,13103,8035,800,47938
4689,13265,8035,800,47947
4690,13427,8035,800,47955
4691,13589,8035,800,47963
4692,13752,8035,800,47971
4693,13914,8035,800,47979
4694,14048,8060,800,47987
4695,14048,8222,800,47996
4696,14048,8384,800,48004
4697,14048,8546,800,48012
4698,14048,8709,800,48020
4699,13946,8765,800,48028
4700,13784,8765,800,48036
4701,13622,8765,800,48045
4702,13460,8765,800,48053
4703,13298,8765,800,48061
4704,13136,8765,800,48069
4705,12973,8765,800,48077
4706,12811,8765,800,48085
4707,12649,8765,800,48094
4708,12487,8765,800,48102
4709,12325,8765,800,48110
4710,12163,8765,800,48118
4711,12001,8765,800,48126
4712,11839,8765,800,48135
4713,11677,8765,800,48143
4714,11518,8755,800,48151
4715,11380,8671,800,48160
4716,11223,8638,800,48168
4717,11061,8638,800,48176
4718,10899,8638,800,48184
4719,10737,8638,800,48192
4720,10575,8638,800,48200
4721,10413,8638,800,48209
4722,10250,8638,800,48217
4723,10088,8638,800,48225
4724,9926,8638,800,48233
4725,9764,8638,800,48242
4726,9602,8638,800,48250
4727,9440,8638,800,48258
4728,9278,8638,800,48266
4729,9116,8638,800,48274
4730,8954,8638,800,48283
4731,8791,8638,800,48291
4732,8697,8580,832,48294
4733,8285,8502,880,48294
4734,7333,8322,880,48294
4735,6381,8142,880,48294
4736,6156,8177,880,48301
4737,6384,8406,880,48317
4738,6613,8635,880,48333
4739,6515,8717,880,48339
4740,6737,8494,880,48355
4741,6966,8265,880,48371
4742,7116,8082,880,48384
