Index,X,Y,Z,E
451,5952,8551,80,3384
452,5952,8389,80,3388
453,5952,8227,80,3392
454,5952,8065,80,3396
455,6081,8035,80,3400
456,6243,8035,80,3404
457,6405,8035,80,3409
458,6567,8035,80,3413
459,6729,8035,80,3417
460,6891,8035,80,3421
461,7053,8035,80,3425
462,7216,8035,80,3429
463,7378,8035,80,3433
464,7540,8035,80,3437
465,7702,8035,80,3442
466,7864,8035,80,3446
467,8026,8035,80,3450
468,8188,8035,80,3454
469,8350,8035,80,3458
470,8503,8062,80,3462
471,8645,8139,80,3466
472,8804,8162,80,3470
473,8966,8162,80,3474
474,9128,8162,80,3478
475,9290,8162,80,3482
476,9452,8162,80,3486
477,9614,8162,80,3490
478,9776,8162,80,3494
479,9939,8162,80,3498
480,10101,8162,80,3503
481,10263,8162,80,3507
482,10425,8162,80,3511
483,10587,8162,80,3515
484,10749,8162,80,3519
485,10911,8162,80,3523
486,11073,8162,80,3527
487,11235,8162,80,3531
488,11391,8124,80,3535
489,11527,8037,80,3540
490,11689,8035,80,3544
491,11851,8035,80,3548
492,12013,8035,80,3552
493,12175,8035,80,3556
494,12337,8035,80,3560
495,12500,8035,80,3564
496,12662,8035,80,3568
497,12824,8035,80,3572
498,12986,8035,80,3576
499,13148,8035,80,3581
500,13310,8035,80,3585
501,13472,8035,80,3589
502,13634,8035,80,3593
503,13796,8035,80,3597
504,13959,8035,80,3601
505,14048,8105,80,3605
506,14048,8267,80,3609
507,14048,8429,80,3613
508,14048,8591,80,3617
509,14048,8753,80,3622
510,13901,8765,80,3626
511,13739,8765,80,3630
512,13577,8765,80,3634
513,13415,8765,80,3638
514,13253,8765,80,3642
515,13091,8765,80,3646
516,12929,8765,80,3650
517,12766,8765,80,3655
518,12604,8765,80,3659
519,12442,8765,80,3663
520,12280,8765,80,3667
521,12118,8765,80,3671
522,11956,8765,80,3675
523,11794,8765,80,3679
524,11632,8765,80,3683
525,11483,8727,80,3687
526,11338,8655,80,3691
527,11178,8638,80,3695
528,11016,8638,80,3699
529,10854,8638,80,3704
530,10692,8638,80,3708
531,10530,8638,80,3712
532,10368,8638,80,3716
533,10205,8638,80,3720
534,10043,8638,80,3724
535,9881,8638,80,3728
536,9719,8638,80,3732
537,9557,8638,80,3736
538,9395,8638,80,3740
539,9233,8638,80,3744
540,9071,8638,80,3748
541,8909,8638,80,3752
542,8746,8638,80,3757
543,8643,8595,80,3759
544,8497,8665,80,3764
545,8347,8702,80,3768
546,8185,8702,80,3772
547,8023,8702,80,3776
548,7861,8702,80,3780
549,7699,8702,80,3784
550,7537,8702,80,3788
551,7375,8702,80,3792
552,7213,8702,80,3796
553,7051,8702,80,3800
554,6888,8702,80,3804
555,6726,8702,80,3808
556,6564,8702,80,3812
557,6402,8702,80,3816
558,6240,8702,80,3820
559,6078,8702,80,3824
560,6015,8605,80,3829
561,6015,8443,80,3833
562,6015,8281,80,3837
563,6015,8119,80,3841
564,6152,8098,80,3845
565,6314,8098,80,3850
566,6476,8098,80,3854
567,6639,8098,80,3858
568,6801,8098,80,3862
569,6963,8098,80,3866
570,7125,8098,80,3870
571,7287,8098,80,3874
572,7449,8098,80,3878
573,7611,8098,80,3882
574,7773,8098,80,3886
575,7935,8098,80,3890
576,8098,8098,80,3894
577,8260,8098,80,3898
578,8422,8098,80,3902
579,8561,8173,80,3906
580,8715,8224,80,3911
581,8877,8225,80,3915
582,9039,8225,80,3919
583,9201,8225,80,3923
584,9363,8225,80,3927
585,9525,8225,80,3931
586,9687,8225,80,3935
587,9849,8225,80,3939
588,10011,8225,80,3943
589,10174,8225,80,3947
590,10336,8225,80,3951
591,10498,8225,80,3956
592,10660,8225,80,3960
593,10822,8225,80,3964
594,10984,8225,80,3968
595,11146,8225,80,3972
596,11307,8218,80,3976
597,11459,8162,80,3981
598,11601,8098,80,3984
599,11763,8098,80,3988
600,11925,8098,80,3993
601,12088,8098,80,3997
602,12250,8098,80,4001
603,12412,8098,80,4005
604,12574,8098,80,4009
